model,min_df,ngram_range,binary,cleaning_type,accuracy,classification_report,confusion_matrix,vocabulary_size
Logistic Regression (L1),1,Unigrama,True,Total,0.8357142857142857,"{'Non SCR': {'precision': 0.8637873754152824, 'recall': 0.9403254972875226, 'f1-score': 0.9004329004329005, 'support': 553.0}, 'SCR': {'precision': 0.6632653061224489, 'recall': 0.4421768707482993, 'f1-score': 0.5306122448979592, 'support': 147.0}, 'accuracy': 0.8357142857142857, 'macro avg': {'precision': 0.7635263407688657, 'recall': 0.691251184017911, 'f1-score': 0.7155225726654298, 'support': 700.0}, 'weighted avg': {'precision': 0.8216777408637875, 'recall': 0.8357142857142857, 'f1-score': 0.8227705627705628, 'support': 700.0}}","{0: {'No-SCR': 520, 'SCR': 82}, 1: {'No-SCR': 33, 'SCR': 65}}",3171
Logistic Regression (L2),1,Unigrama,True,Total,0.8471428571428572,"{'Non SCR': {'precision': 0.8704318936877077, 'recall': 0.9475587703435805, 'f1-score': 0.9073593073593074, 'support': 553.0}, 'SCR': {'precision': 0.7040816326530612, 'recall': 0.46938775510204084, 'f1-score': 0.563265306122449, 'support': 147.0}, 'accuracy': 0.8471428571428572, 'macro avg': {'precision': 0.7872567631703844, 'recall': 0.7084732627228106, 'f1-score': 0.7353123067408782, 'support': 700.0}, 'weighted avg': {'precision': 0.8354983388704319, 'recall': 0.8471428571428572, 'f1-score': 0.835099567099567, 'support': 700.0}}","{0: {'No-SCR': 524, 'SCR': 78}, 1: {'No-SCR': 29, 'SCR': 69}}",3171
Naive Bayes,1,Unigrama,False,Nenhuma,0.8314285714285714,"{'Non SCR': {'precision': 0.8809106830122592, 'recall': 0.9095840867992767, 'f1-score': 0.895017793594306, 'support': 553.0}, 'SCR': {'precision': 0.6124031007751938, 'recall': 0.5374149659863946, 'f1-score': 0.572463768115942, 'support': 147.0}, 'accuracy': 0.8314285714285714, 'macro avg': {'precision': 0.7466568918937264, 'recall': 0.7234995263928357, 'f1-score': 0.733740780855124, 'support': 700.0}, 'weighted avg': {'precision': 0.8245240907424755, 'recall': 0.8314285714285714, 'f1-score': 0.8272814482438496, 'support': 700.0}}","{0: {'No-SCR': 503, 'SCR': 68}, 1: {'No-SCR': 50, 'SCR': 79}}",3285
SVM,1,Unigrama,False,Nenhuma,0.8357142857142857,"{'Non SCR': {'precision': 0.8520900321543409, 'recall': 0.9584086799276673, 'f1-score': 0.902127659574468, 'support': 553.0}, 'SCR': {'precision': 0.7051282051282052, 'recall': 0.3741496598639456, 'f1-score': 0.4888888888888889, 'support': 147.0}, 'accuracy': 0.8357142857142857, 'macro avg': {'precision': 0.778609118641273, 'recall': 0.6662791698958065, 'f1-score': 0.6955082742316785, 'support': 700.0}, 'weighted avg': {'precision': 0.8212280484788524, 'recall': 0.8357142857142857, 'f1-score': 0.8153475177304964, 'support': 700.0}}","{0: {'No-SCR': 530, 'SCR': 92}, 1: {'No-SCR': 23, 'SCR': 55}}",3285
Logistic Regression (L1),1,Unigrama,False,Nenhuma,0.8471428571428572,"{'Non SCR': {'precision': 0.8692052980132451, 'recall': 0.9493670886075949, 'f1-score': 0.9075194468452895, 'support': 553.0}, 'SCR': {'precision': 0.7083333333333334, 'recall': 0.46258503401360546, 'f1-score': 0.5596707818930041, 'support': 147.0}, 'accuracy': 0.8471428571428572, 'macro avg': {'precision': 0.7887693156732892, 'recall': 0.7059760613106002, 'f1-score': 0.7335951143691468, 'support': 700.0}, 'weighted avg': {'precision': 0.8354221854304635, 'recall': 0.8471428571428572, 'f1-score': 0.8344712272053095, 'support': 700.0}}","{0: {'No-SCR': 525, 'SCR': 79}, 1: {'No-SCR': 28, 'SCR': 68}}",3285
Logistic Regression (L2),1,Unigrama,False,Nenhuma,0.8514285714285714,"{'Non SCR': {'precision': 0.8773109243697479, 'recall': 0.9439421338155516, 'f1-score': 0.9094076655052264, 'support': 553.0}, 'SCR': {'precision': 0.7047619047619048, 'recall': 0.5034013605442177, 'f1-score': 0.5873015873015873, 'support': 147.0}, 'accuracy': 0.8514285714285714, 'macro avg': {'precision': 0.7910364145658264, 'recall': 0.7236717471798846, 'f1-score': 0.7483546264034069, 'support': 700.0}, 'weighted avg': {'precision': 0.8410756302521009, 'recall': 0.8514285714285714, 'f1-score': 0.8417653890824622, 'support': 700.0}}","{0: {'No-SCR': 522, 'SCR': 73}, 1: {'No-SCR': 31, 'SCR': 74}}",3285
Naive Bayes,1,Unigrama,False,Parcial,0.8314285714285714,"{'Non SCR': {'precision': 0.8809106830122592, 'recall': 0.9095840867992767, 'f1-score': 0.895017793594306, 'support': 553.0}, 'SCR': {'precision': 0.6124031007751938, 'recall': 0.5374149659863946, 'f1-score': 0.572463768115942, 'support': 147.0}, 'accuracy': 0.8314285714285714, 'macro avg': {'precision': 0.7466568918937264, 'recall': 0.7234995263928357, 'f1-score': 0.733740780855124, 'support': 700.0}, 'weighted avg': {'precision': 0.8245240907424755, 'recall': 0.8314285714285714, 'f1-score': 0.8272814482438496, 'support': 700.0}}","{0: {'No-SCR': 503, 'SCR': 68}, 1: {'No-SCR': 50, 'SCR': 79}}",3285
SVM,1,Unigrama,False,Parcial,0.8357142857142857,"{'Non SCR': {'precision': 0.8520900321543409, 'recall': 0.9584086799276673, 'f1-score': 0.902127659574468, 'support': 553.0}, 'SCR': {'precision': 0.7051282051282052, 'recall': 0.3741496598639456, 'f1-score': 0.4888888888888889, 'support': 147.0}, 'accuracy': 0.8357142857142857, 'macro avg': {'precision': 0.778609118641273, 'recall': 0.6662791698958065, 'f1-score': 0.6955082742316785, 'support': 700.0}, 'weighted avg': {'precision': 0.8212280484788524, 'recall': 0.8357142857142857, 'f1-score': 0.8153475177304964, 'support': 700.0}}","{0: {'No-SCR': 530, 'SCR': 92}, 1: {'No-SCR': 23, 'SCR': 55}}",3285
Logistic Regression (L1),1,Unigrama,False,Parcial,0.8471428571428572,"{'Non SCR': {'precision': 0.8692052980132451, 'recall': 0.9493670886075949, 'f1-score': 0.9075194468452895, 'support': 553.0}, 'SCR': {'precision': 0.7083333333333334, 'recall': 0.46258503401360546, 'f1-score': 0.5596707818930041, 'support': 147.0}, 'accuracy': 0.8471428571428572, 'macro avg': {'precision': 0.7887693156732892, 'recall': 0.7059760613106002, 'f1-score': 0.7335951143691468, 'support': 700.0}, 'weighted avg': {'precision': 0.8354221854304635, 'recall': 0.8471428571428572, 'f1-score': 0.8344712272053095, 'support': 700.0}}","{0: {'No-SCR': 525, 'SCR': 79}, 1: {'No-SCR': 28, 'SCR': 68}}",3285
Logistic Regression (L2),1,Unigrama,False,Parcial,0.8514285714285714,"{'Non SCR': {'precision': 0.8773109243697479, 'recall': 0.9439421338155516, 'f1-score': 0.9094076655052264, 'support': 553.0}, 'SCR': {'precision': 0.7047619047619048, 'recall': 0.5034013605442177, 'f1-score': 0.5873015873015873, 'support': 147.0}, 'accuracy': 0.8514285714285714, 'macro avg': {'precision': 0.7910364145658264, 'recall': 0.7236717471798846, 'f1-score': 0.7483546264034069, 'support': 700.0}, 'weighted avg': {'precision': 0.8410756302521009, 'recall': 0.8514285714285714, 'f1-score': 0.8417653890824622, 'support': 700.0}}","{0: {'No-SCR': 522, 'SCR': 73}, 1: {'No-SCR': 31, 'SCR': 74}}",3285
Naive Bayes,1,Unigrama,False,Total,0.8185714285714286,"{'Non SCR': {'precision': 0.8723776223776224, 'recall': 0.9023508137432188, 'f1-score': 0.8871111111111111, 'support': 553.0}, 'SCR': {'precision': 0.578125, 'recall': 0.5034013605442177, 'f1-score': 0.5381818181818182, 'support': 147.0}, 'accuracy': 0.8185714285714286, 'macro avg': {'precision': 0.7252513111888113, 'recall': 0.7028760871437183, 'f1-score': 0.7126464646464646, 'support': 700.0}, 'weighted avg': {'precision': 0.8105845716783217, 'recall': 0.8185714285714286, 'f1-score': 0.8138359595959596, 'support': 700.0}}","{0: {'No-SCR': 499, 'SCR': 73}, 1: {'No-SCR': 54, 'SCR': 74}}",3171
SVM,1,Unigrama,False,Total,0.8371428571428572,"{'Non SCR': {'precision': 0.8534621578099839, 'recall': 0.9584086799276673, 'f1-score': 0.9028960817717206, 'support': 553.0}, 'SCR': {'precision': 0.7088607594936709, 'recall': 0.38095238095238093, 'f1-score': 0.49557522123893805, 'support': 147.0}, 'accuracy': 0.8371428571428572, 'macro avg': {'precision': 0.7811614586518274, 'recall': 0.6696805304400242, 'f1-score': 0.6992356515053293, 'support': 700.0}, 'weighted avg': {'precision': 0.8230958641635583, 'recall': 0.8371428571428572, 'f1-score': 0.8173587010598362, 'support': 700.0}}","{0: {'No-SCR': 530, 'SCR': 91}, 1: {'No-SCR': 23, 'SCR': 56}}",3171
Logistic Regression (L1),1,Unigrama,False,Total,0.8342857142857143,"{'Non SCR': {'precision': 0.8599670510708401, 'recall': 0.9439421338155516, 'f1-score': 0.9, 'support': 553.0}, 'SCR': {'precision': 0.6666666666666666, 'recall': 0.4217687074829932, 'f1-score': 0.5166666666666667, 'support': 147.0}, 'accuracy': 0.8342857142857143, 'macro avg': {'precision': 0.7633168588687533, 'recall': 0.6828554206492724, 'f1-score': 0.7083333333333334, 'support': 700.0}, 'weighted avg': {'precision': 0.8193739703459638, 'recall': 0.8342857142857143, 'f1-score': 0.8195, 'support': 700.0}}","{0: {'No-SCR': 522, 'SCR': 85}, 1: {'No-SCR': 31, 'SCR': 62}}",3171
Logistic Regression (L2),1,Unigrama,False,Total,0.8457142857142858,"{'Non SCR': {'precision': 0.8653530377668309, 'recall': 0.9529837251356239, 'f1-score': 0.9070567986230637, 'support': 553.0}, 'SCR': {'precision': 0.7142857142857143, 'recall': 0.4421768707482993, 'f1-score': 0.5462184873949579, 'support': 147.0}, 'accuracy': 0.8457142857142858, 'macro avg': {'precision': 0.7898193760262726, 'recall': 0.6975802979419616, 'f1-score': 0.7266376430090108, 'support': 700.0}, 'weighted avg': {'precision': 0.8336288998357964, 'recall': 0.8457142857142858, 'f1-score': 0.8312807532651615, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 82}, 1: {'No-SCR': 26, 'SCR': 65}}",3171
Naive Bayes,1,Unigrama + Bigrama,True,Nenhuma,0.8285714285714286,"{'Non SCR': {'precision': 0.8602329450915142, 'recall': 0.9349005424954792, 'f1-score': 0.8960138648180243, 'support': 553.0}, 'SCR': {'precision': 0.6363636363636364, 'recall': 0.42857142857142855, 'f1-score': 0.5121951219512195, 'support': 147.0}, 'accuracy': 0.8285714285714286, 'macro avg': {'precision': 0.7482982907275753, 'recall': 0.6817359855334538, 'f1-score': 0.7041044933846219, 'support': 700.0}, 'weighted avg': {'precision': 0.8132203902586598, 'recall': 0.8285714285714286, 'f1-score': 0.8154119288159953, 'support': 700.0}}","{0: {'No-SCR': 517, 'SCR': 84}, 1: {'No-SCR': 36, 'SCR': 63}}",18374
SVM,1,Unigrama + Bigrama,True,Nenhuma,0.8142857142857143,"{'Non SCR': {'precision': 0.8170914542728636, 'recall': 0.9855334538878843, 'f1-score': 0.8934426229508197, 'support': 553.0}, 'SCR': {'precision': 0.7575757575757576, 'recall': 0.17006802721088435, 'f1-score': 0.2777777777777778, 'support': 147.0}, 'accuracy': 0.8142857142857143, 'macro avg': {'precision': 0.7873336059243106, 'recall': 0.5778007405493844, 'f1-score': 0.5856102003642987, 'support': 700.0}, 'weighted avg': {'precision': 0.8045931579664712, 'recall': 0.8142857142857143, 'f1-score': 0.7641530054644808, 'support': 700.0}}","{0: {'No-SCR': 545, 'SCR': 122}, 1: {'No-SCR': 8, 'SCR': 25}}",18374
Logistic Regression (L1),1,Unigrama + Bigrama,True,Nenhuma,0.84,"{'Non SCR': {'precision': 0.8668885191347754, 'recall': 0.9421338155515371, 'f1-score': 0.902946273830156, 'support': 553.0}, 'SCR': {'precision': 0.6767676767676768, 'recall': 0.4557823129251701, 'f1-score': 0.5447154471544715, 'support': 147.0}, 'accuracy': 0.84, 'macro avg': {'precision': 0.7718280979512261, 'recall': 0.6989580642383536, 'f1-score': 0.7238308604923138, 'support': 700.0}, 'weighted avg': {'precision': 0.8269631422376846, 'recall': 0.84, 'f1-score': 0.8277178002282622, 'support': 700.0}}","{0: {'No-SCR': 521, 'SCR': 80}, 1: {'No-SCR': 32, 'SCR': 67}}",18374
Logistic Regression (L2),1,Unigrama + Bigrama,True,Nenhuma,0.8428571428571429,"{'Non SCR': {'precision': 0.8710217755443886, 'recall': 0.9403254972875226, 'f1-score': 0.9043478260869565, 'support': 553.0}, 'SCR': {'precision': 0.6796116504854369, 'recall': 0.47619047619047616, 'f1-score': 0.56, 'support': 147.0}, 'accuracy': 0.8428571428571429, 'macro avg': {'precision': 0.7753167130149128, 'recall': 0.7082579867389993, 'f1-score': 0.7321739130434783, 'support': 700.0}, 'weighted avg': {'precision': 0.8308256492820087, 'recall': 0.8428571428571429, 'f1-score': 0.8320347826086957, 'support': 700.0}}","{0: {'No-SCR': 520, 'SCR': 77}, 1: {'No-SCR': 33, 'SCR': 70}}",18374
Naive Bayes,1,Unigrama + Bigrama,True,Parcial,0.8285714285714286,"{'Non SCR': {'precision': 0.8602329450915142, 'recall': 0.9349005424954792, 'f1-score': 0.8960138648180243, 'support': 553.0}, 'SCR': {'precision': 0.6363636363636364, 'recall': 0.42857142857142855, 'f1-score': 0.5121951219512195, 'support': 147.0}, 'accuracy': 0.8285714285714286, 'macro avg': {'precision': 0.7482982907275753, 'recall': 0.6817359855334538, 'f1-score': 0.7041044933846219, 'support': 700.0}, 'weighted avg': {'precision': 0.8132203902586598, 'recall': 0.8285714285714286, 'f1-score': 0.8154119288159953, 'support': 700.0}}","{0: {'No-SCR': 517, 'SCR': 84}, 1: {'No-SCR': 36, 'SCR': 63}}",18374
SVM,1,Unigrama + Bigrama,True,Parcial,0.8142857142857143,"{'Non SCR': {'precision': 0.8170914542728636, 'recall': 0.9855334538878843, 'f1-score': 0.8934426229508197, 'support': 553.0}, 'SCR': {'precision': 0.7575757575757576, 'recall': 0.17006802721088435, 'f1-score': 0.2777777777777778, 'support': 147.0}, 'accuracy': 0.8142857142857143, 'macro avg': {'precision': 0.7873336059243106, 'recall': 0.5778007405493844, 'f1-score': 0.5856102003642987, 'support': 700.0}, 'weighted avg': {'precision': 0.8045931579664712, 'recall': 0.8142857142857143, 'f1-score': 0.7641530054644808, 'support': 700.0}}","{0: {'No-SCR': 545, 'SCR': 122}, 1: {'No-SCR': 8, 'SCR': 25}}",18374
Logistic Regression (L1),1,Unigrama + Bigrama,True,Parcial,0.84,"{'Non SCR': {'precision': 0.8668885191347754, 'recall': 0.9421338155515371, 'f1-score': 0.902946273830156, 'support': 553.0}, 'SCR': {'precision': 0.6767676767676768, 'recall': 0.4557823129251701, 'f1-score': 0.5447154471544715, 'support': 147.0}, 'accuracy': 0.84, 'macro avg': {'precision': 0.7718280979512261, 'recall': 0.6989580642383536, 'f1-score': 0.7238308604923138, 'support': 700.0}, 'weighted avg': {'precision': 0.8269631422376846, 'recall': 0.84, 'f1-score': 0.8277178002282622, 'support': 700.0}}","{0: {'No-SCR': 521, 'SCR': 80}, 1: {'No-SCR': 32, 'SCR': 67}}",18374
Logistic Regression (L2),1,Unigrama + Bigrama,True,Parcial,0.8428571428571429,"{'Non SCR': {'precision': 0.8710217755443886, 'recall': 0.9403254972875226, 'f1-score': 0.9043478260869565, 'support': 553.0}, 'SCR': {'precision': 0.6796116504854369, 'recall': 0.47619047619047616, 'f1-score': 0.56, 'support': 147.0}, 'accuracy': 0.8428571428571429, 'macro avg': {'precision': 0.7753167130149128, 'recall': 0.7082579867389993, 'f1-score': 0.7321739130434783, 'support': 700.0}, 'weighted avg': {'precision': 0.8308256492820087, 'recall': 0.8428571428571429, 'f1-score': 0.8320347826086957, 'support': 700.0}}","{0: {'No-SCR': 520, 'SCR': 77}, 1: {'No-SCR': 33, 'SCR': 70}}",18374
Naive Bayes,1,Unigrama + Bigrama,True,Total,0.8214285714285714,"{'Non SCR': {'precision': 0.8590604026845637, 'recall': 0.9258589511754068, 'f1-score': 0.8912097476066144, 'support': 553.0}, 'SCR': {'precision': 0.6057692307692307, 'recall': 0.42857142857142855, 'f1-score': 0.50199203187251, 'support': 147.0}, 'accuracy': 0.8214285714285714, 'macro avg': {'precision': 0.7324148167268972, 'recall': 0.6772151898734177, 'f1-score': 0.6966008897395621, 'support': 700.0}, 'weighted avg': {'precision': 0.8058692565823439, 'recall': 0.8214285714285714, 'f1-score': 0.8094740273024524, 'support': 700.0}}","{0: {'No-SCR': 512, 'SCR': 84}, 1: {'No-SCR': 41, 'SCR': 63}}",13634
SVM,1,Unigrama + Bigrama,True,Total,0.8157142857142857,"{'Non SCR': {'precision': 0.8212121212121212, 'recall': 0.9801084990958409, 'f1-score': 0.8936521022258862, 'support': 553.0}, 'SCR': {'precision': 0.725, 'recall': 0.19727891156462585, 'f1-score': 0.31016042780748665, 'support': 147.0}, 'accuracy': 0.8157142857142857, 'macro avg': {'precision': 0.7731060606060606, 'recall': 0.5886937053302334, 'f1-score': 0.6019062650166864, 'support': 700.0}, 'weighted avg': {'precision': 0.8010075757575759, 'recall': 0.8157142857142857, 'f1-score': 0.7711188505980223, 'support': 700.0}}","{0: {'No-SCR': 542, 'SCR': 118}, 1: {'No-SCR': 11, 'SCR': 29}}",13634
Logistic Regression (L1),1,Unigrama + Bigrama,True,Total,0.8357142857142857,"{'Non SCR': {'precision': 0.8625827814569537, 'recall': 0.9421338155515371, 'f1-score': 0.9006050129645635, 'support': 553.0}, 'SCR': {'precision': 0.6666666666666666, 'recall': 0.43537414965986393, 'f1-score': 0.5267489711934157, 'support': 147.0}, 'accuracy': 0.8357142857142857, 'macro avg': {'precision': 0.7646247240618101, 'recall': 0.6887539826057005, 'f1-score': 0.7136769920789896, 'support': 700.0}, 'weighted avg': {'precision': 0.8214403973509934, 'recall': 0.8357142857142857, 'f1-score': 0.8220952441926225, 'support': 700.0}}","{0: {'No-SCR': 521, 'SCR': 83}, 1: {'No-SCR': 32, 'SCR': 64}}",13634
Logistic Regression (L2),1,Unigrama + Bigrama,True,Total,0.84,"{'Non SCR': {'precision': 0.8585365853658536, 'recall': 0.9547920433996383, 'f1-score': 0.9041095890410958, 'support': 553.0}, 'SCR': {'precision': 0.7058823529411765, 'recall': 0.40816326530612246, 'f1-score': 0.5172413793103449, 'support': 147.0}, 'accuracy': 0.84, 'macro avg': {'precision': 0.7822094691535151, 'recall': 0.6814776543528804, 'f1-score': 0.7106754841757204, 'support': 700.0}, 'weighted avg': {'precision': 0.8264791965566715, 'recall': 0.84, 'f1-score': 0.8228672649976381, 'support': 700.0}}","{0: {'No-SCR': 528, 'SCR': 87}, 1: {'No-SCR': 25, 'SCR': 60}}",13634
Naive Bayes,1,Unigrama + Bigrama,False,Nenhuma,0.8285714285714286,"{'Non SCR': {'precision': 0.8614357262103506, 'recall': 0.9330922242314648, 'f1-score': 0.8958333333333334, 'support': 553.0}, 'SCR': {'precision': 0.6336633663366337, 'recall': 0.43537414965986393, 'f1-score': 0.5161290322580645, 'support': 147.0}, 'accuracy': 0.8285714285714286, 'macro avg': {'precision': 0.7475495462734921, 'recall': 0.6842331869456644, 'f1-score': 0.705981182795699, 'support': 700.0}, 'weighted avg': {'precision': 0.8136035306368701, 'recall': 0.8285714285714286, 'f1-score': 0.8160954301075269, 'support': 700.0}}","{0: {'No-SCR': 516, 'SCR': 83}, 1: {'No-SCR': 37, 'SCR': 64}}",18374
SVM,1,Unigrama + Bigrama,False,Nenhuma,0.8171428571428572,"{'Non SCR': {'precision': 0.8224582701062215, 'recall': 0.9801084990958409, 'f1-score': 0.8943894389438944, 'support': 553.0}, 'SCR': {'precision': 0.7317073170731707, 'recall': 0.20408163265306123, 'f1-score': 0.3191489361702128, 'support': 147.0}, 'accuracy': 0.8171428571428572, 'macro avg': {'precision': 0.7770827935896961, 'recall': 0.592095065874451, 'f1-score': 0.6067691875570536, 'support': 700.0}, 'weighted avg': {'precision': 0.8034005699692809, 'recall': 0.8171428571428572, 'f1-score': 0.7735889333614213, 'support': 700.0}}","{0: {'No-SCR': 542, 'SCR': 117}, 1: {'No-SCR': 11, 'SCR': 30}}",18374
