S.#,Sentence,Label
113,Every update fixes an issue but causes a dozen new ones. ,Non SCR
114,And perhaps worst of all is the broken listing price system . ,SCR
115,"Some sellers legit can't list their right price, while others go WAY low to catch your attention and claim ""Facebook won't let me the right price""",SCR
116,This is good,Non SCR
117,My whats app not working on wifi data,Non SCR
118,Awsome as always. ,Non SCR
119,Since i updated my davice to one ui 3.1 and andriod 11 i can't make any whatsapp calls and it get crashed everytime. ,Non SCR
120,It really need to get fixed pls,Non SCR
121,I am facing a problem while scrolling. ,SCR
122,"Suddenly my mobile phone showing that Facebook is not working properly so they give me two options ""open app again"" or ""close app"". ",SCR
123,Kindly help me to find problem in my account.,Non SCR
124,Whatsapp,Non SCR
125,There is no sticker option. ,SCR
126,"After updated the sticker, sticker disappeared",SCR
127,My facebook have an bug or error when i touch the sharedpost video.  ,SCR
128,"It always has half grey color to the bottom even i touch it, it wont work pls can you give me some tips.",Non SCR
129,Sorry for bad english i hope you understand.,Non SCR
130,"So now I am able to make phone calls with the app on Chromebook, but im not able to update my status on it. ",SCR
131,It continously tells me to restart phone. ,SCR
132,I restart computer and the samething happens. ,Non SCR
133,I installed the update and its the same. ,Non SCR
134,Please fix!,Non SCR
135,I really like this app as this help me a lot at the time of lockdown by making me connected with my classmate and teacher.,Non SCR
136,What's app is the best.,Non SCR
137,This is a best app for share our memory.,Non SCR
138,Good app.,Non SCR
139,D.p croping size is limited its so irritating it should be without any limit you can crop your d.p as much as you can.,SCR
140," I,ll rate it 5 stars if this issue is resolved. ",Non SCR
141,Thank you.,Non SCR
142,Worst policy. ,Non SCR
143,when i started using whastapp from then to till 2020 it was good but now the policy suck. ,SCR
144,I know without giving policy they also using our data share it with facebook and others. ,Non SCR
145,But now they think thy will agree it from all user and do anything they want.,Non SCR
146,Boycott_whstapp.,Non SCR
147,"WhatsApp, please stop compression our picture quality when we upload pictures on our status. ",SCR
148,You make our pictures too blurry.,Non SCR
149,Awe.,Non SCR
150,"Asynchronous is the opposite of synchronous, which means happening at the same time. ",Non SCR
151,Think of aynchronous as n synchronous and asynchronous as out of synch. ,Non SCR
152,"If we're chatting on the phone, our communication is asynchronous. ",Non SCR
153,"We respond to each other immediately and when we hang up, the conversation's over.",SCR
154,Guessing there has been a new update! ,Non SCR
155,What has happened to groups? ,Non SCR
156,They are more like the web version to look at and clunky to use! ,Non SCR
157,So many things going downhill on this app - with every update it becomes worse. ,Non SCR
158,Why fix what isn't broken?,Non SCR
159,"My pin number was stolen from Felipe Franco of Milwaukee, WI an usted to steal my wife's home in Guadalajara, M??xico. ",Non SCR
160,Be careful with pin numbers from WhatsApp and thieves.,Non SCR
161,The deepak.,Non SCR
162,This app is great and easy to use but after the later update I can't use camera and can't open it and sometime I can't enter WhatsApp. ,SCR
163,I can't check status. ,SCR
164,I click my Friend status many times. ,Non SCR
165,First time I thought my net isn't good and the 3rd time I tried clicking status and still can't check it. .,SCR
166,"Sometime I can check it but after done checking I can't touch or swip , and I can't watching any video my Friend send.",SCR
167, Please fix the bug.,Non SCR
168,I'll rate it 5 Star after it already fixed.,Non SCR
169,Okay,Non SCR
170,malik yaur,Non SCR
171,????,Non SCR
172,To many unnecessary things I think are over done.,Non SCR
173,Reporting facebook accounts because its fake scam other people and ill receive a support message that it doesnt go against any of community hard. ,SCR
174,I dont know what to do now. ,Non SCR
175,And me that commented in someones page and mentioned my friends was reported as spamming like are you serious?,Non SCR
176,It's good but not a lot,Non SCR
177,"Okay so, I like all about it, but for some reason, I searched all steps to how I could lock my profile. ",Non SCR
178,Because I just don't want random people stalking me lol but anyways. ,Non SCR
179,I hope that the lock profile can be available to any country sooner. ,Non SCR
180,Because I barely need it for just safety account that's all. ,Non SCR
181,I appreciated your work and Godbless.,Non SCR
182,Cool,Non SCR
183,"Learn to talk to different people with great language,no insult.",Non SCR
184,Negative: Been really buggy. ,Non SCR
185,Fb watch Lives keep freezing. ,Non SCR
186,"One mintue I'm able to react and comment on my news feed, then next I get an error message. ",SCR
187,"I haven't been violating any of the rules, nor have I recieved anything stating that my page has been restricted. ",SCR
188,"Then, a few minutes later, I'm able to use fb like normal. ",Non SCR
189,What's going on? ,Non SCR
190,"I'm not mad, it's just inconvenient. ",Non SCR
191,"Hopefully, it'll get fixed soon. ",Non SCR
192,Positive. ,Non SCR
193,"Thank you soooo much for the ""Dark Mode"" on fb. ",Non SCR
194,It's better for my eyes.,Non SCR
195,Facebook and Instagram is my favorite way to keep in contact with people cuz you can send pictures messages video chat. ,Non SCR
196,I love it just like I love Instagram. ,Non SCR
197,They should have had apps like this back in the day before computers when they start making cell phones.,Non SCR
198,It's okay and it doesn't have any glitches like majority of chatting apps I have had in the past . ,Non SCR
199,It also has new privacy settings that I love like if you don't want your ex to see any of your activities. ,Non SCR
200,You can block them from doing so.,Non SCR
201,Ok,Non SCR
202,Very nice,Non SCR
203,Ranjith,Non SCR
204,Er,Non SCR
205,"Ahmmm, Hello the latest update of Facebook had some bugs.",Non SCR
206, When your watching videos the screen suddenly stops while the sounds will rewind like its pausing but the sound will rewind and back to normal amd then again. ,SCR
207,It always happens all the time. I reinstalled the app but tjen it's the same?,Non SCR
208,Not showing watch (video) option in my Notification bar.. please solve this issue,SCR
209,"My experience with fb is wonderful the notifications, the videos, the friend requests, and about all the other features.",Non SCR
210,A wonderful experience to my viewership pleasure. ,Non SCR
211,Thank you for sharing your wonderful ideas with me and the rest of the world.,Non SCR
212,Overall a good app but it's too addicting and you suspend people for the dumbest things but keep the Democrats alive and unblocked with all their bull and lies. ,Non SCR
213,But it's all good. ,Non SCR
214,I wish Biden can make America great again. ,Non SCR
215,Hahahahaha.,Non SCR
216,"I've never had a problem with Facebook but this year of 2021, the app keeps kicking me out and keep saying error everytime i try to sign back in. ",SCR
217,This is very frustrating and annoying!,Non SCR
218,Really disappointed with Facebook at the moment. ,Non SCR
219,I'm a regular user and have been for many years. ,Non SCR
220,"There are no posts from friends, very few people appear to be seeing mine and just reels and reels of posts from my liked pages or ads. ",SCR
221,Plus it won't let me upload multiple photos and I don't know why. ,SCR
222,Never happened before in over 10 years.,Non SCR
223,I like whatsapp but I still had to give it a star because whenever I try to keep a long video in status that video gets messed up in WhatsApp. ,Non SCR
224,"Also no one can keep a long video together, please take a look at this problem ...",SCR
225,"When i create an album at my page using android, there's a bugs! ",SCR
226,"After create album can't add photos, yes its not a joke, there's is no add photos button .. thats means your photo album have zero photos. ",SCR
227,You cant add anything. ,Non SCR
228,"u need to open via desktop and upload, which not really user friendly. ",Non SCR
229,"u have transfer all the picutres to desktop first and upload it, take longer time. ",Non SCR
230,Seriusly didnt expect this kind og bugs from FB!,Non SCR
231,Overall the app is good but since last 2 months I am facing issues in clicking photos. ,SCR
232,The camera gets stuck while taking pics through whatsapp. ,SCR
233,Whatsapp please fix this bug.,Non SCR
234,Notifications and sounds are too loud! ,Non SCR
235,Please fix App! ,Non SCR
236,"Update 3/14/21: I see they are trying to fix the app, but I still have issues with the in app sounds being too loud. ",SCR
237,I have to put my phone on vibrate just to like someone's post. ,Non SCR
238,Update: 3/22/21: update is finally fixed and working. ,Non SCR
239,Thank you.,Non SCR
240,It does nt pop up a notification until n unless in am in app. ,Non SCR
241,Even though making all the changes in setting?,Non SCR
242, Hope it rectify the error and get a higher star rating.,Non SCR
243,Its a great app but I'd love to see a like/thumbs up botton in a Group Chat. ,Non SCR
244,So don't have to reply to unnecessary stuff. ,Non SCR
245,"For instance if a lecture says ""Does everyone understands"" just click the thumbs up instead of fluding the chat with yes.",SCR
246, I think that'll be convenient. I'm sure I'm not the only one who wouldn't want that feature.,Non SCR
247,Good,Non SCR
248,Privacy so poor Facebook,Non SCR
249,"Even after the update, App is not working properly. ",Non SCR
250,Facing slow transition issues with the app. ,Non SCR
251,It is late opening and closing even surfing is quite slow... ,SCR
252,Please look into the matter..,Non SCR
253,faizan jan,Non SCR
254,Its a nice app but when you go on marketplace it keep on says an inoccured error appeared and it happened really often.,SCR
255,I love you,Non SCR
256,Latest update made it so that you can't share things through messenger. ,Non SCR
257,"When you hit share on posts, videos, etc., It ask you to sign into messenger. ",Non SCR
258,While showing that you are already logged into messager. ,Non SCR
259,Very frustrating,Non SCR
260,It a very good app use it and see.,Non SCR
261,"I don't have any big problem with Whatsapp, works great and does what it promise BUT IT CONSUMES BATTERY 24 HRS CONTINUOUSLY.",Non SCR
262, FIX IT ASAP. ,Non SCR
263,"I DON'T CARE, I'M MOVING TO ANOTHER APP ANYWAY.",Non SCR
264,Keeps crashing.,Non SCR
265,"I sent a message, it did not show the not-sent icon for some time and then it pops out of nowhere. ",SCR
266,The only reason I use this messenger because of its monopoly like market in Pakistan. ,Non SCR
267,Totally insecure and used to mess up by hackers.,Non SCR
268,Very,Non SCR
269,Sendzo gubesa,Non SCR
270,Ranensarkar,Non SCR
271,Plz support bubble chat ????,Non SCR
272,Why my reset code isnt coming????≠???≠,SCR
273,Lovely,Non SCR
274,Too big files,Non SCR
275,Some of the features on your guide are not really on the app. ,SCR
276,"Like, when I switch to new my page I cannot switch back to my CLASSIC facebook page.",SCR
277, I cannot see the SWITCH TO CLASSIC PAGE icon. ,SCR
278,Please answer. ,Non SCR
279,Thanks.,Non SCR
280,My whatsapp is not saving my photos and videos receiving is not automatically saving anymore. ,SCR
281,Is there any reason for this. Or a setting? ,Non SCR
282,Me and my husband is having the same problem. ,Non SCR
283,Since our last device upgrade.,Non SCR
284,poor,Non SCR
285,There hase been an audio bug when posting a long video on what's app.,SCR
286,pls can that be fixed and also when what's app really kills the quality of pictures and videos sent.,SCR
287,Too big files,Non SCR
288,Rajesh KUMAR KUmar,Non SCR
289,Good luck luck??ç?,Non SCR
290,Whatsapp,Non SCR
291,Shahilkhan,Non SCR
292,Tried tweeting but got no response. ,SCR
293,"Use the app every day but lately it keeps randomly taking up GBs of space, and that's even with me regularly clearing media and other guff.",SCR
294," Looking online I can't find any tips other than checking the in-app storage settings, which only says 40MB used and 2.6gb free?",Non SCR
295,Clearing the data takes it back down to 2-300MB but that only seems temporary. ,SCR
296, It inevitably creeps up again after a random length of time. ,Non SCR
297,"At the minute it's 2.78gb used, it's been over 5 before.",Non SCR
298,It is a great place to use chat services. ,Non SCR
299,However I'm a bit annoyed with its privacy features. ,SCR
300,I don't want any random contact outside my contact list to call me but I don't have that settings. ,SCR
301,It becomes annoying to receive calls on Whatsapp from random contacts.,SCR
302, I hope there's a way to block this unnecessary traffic. ,SCR
303,Also I cannot report suspicious numbers.,SCR
304,Uj8530596@gmail Usman gunyi.,Non SCR
305,Ads in the videos are getting longer and frequent! Sucks!!,Non SCR
306,The Best.,Non SCR
307,"Anytime I trim my status video for upload, it changes the video sound by playing it half way thereby making the video to play before its sound. ",SCR
308,The whole experience is not funny. ,Non SCR
309,I even updated the app like twice but yet no change. ,Non SCR
310,You guys need to fix it.,Non SCR
311,Ferry good this app.,Non SCR
312,I really don't know what's the problem with WhatsApp.,Non SCR
313,"It is restricting some media and files from being shared through WhatsApp, though I have checked all the privacy settings and everything is right.",SCR
314,"But still I am not able to share some files and media through WhatsApp ...though it's being complained to the company, there is no solution from their end.. ",SCR
315,PLEASE SUGGEST WHAT SHOULD BE DONE TO OVERCOME THIS.,Non SCR
316,?????????Ò?? ???? ???? ?¶?Ò???? ?????Å???¶ ???????? ????????,Non SCR
317,It is annoying that when someone sends me a video and later that same person deletes it. ,SCR
318,It has to affect me too! ,Non SCR
319,And whenever you are in the middle of enjoying a chat or status . ,Non SCR
320,Then that storage full appears on the screen. ,Non SCR
321,Is so not cool at all. ,Non SCR
322,That thing can appear so many times and is so irritating .,Non SCR
323,Good,Non SCR
324,Happy,Non SCR
325,Dr agagg,Non SCR
326,Oo,Non SCR
327,"Problems with downloading, keeps saying beta programme is full. ",Non SCR
328,"I uninstalled and re installed, no difference. ",Non SCR
329,"I backed up previous data, but nothing appeared with new installation. ",SCR
330,Please help with downloading voice messages and notes. ,Non SCR
331,"I installed the latest version, but cannot update.",Non SCR
332,I do love this app so much but why eventho i already update it.  ,Non SCR
333,I'm an android user but i still dont have that sticker editing if u update ur stts with pics? ,SCR
334,"So just now i try to custom notification for other contact, but why it doesnt change at all n stay the same huh? ",SCR
335,its making me getting even sad knowing wA is getting worse. ,Non SCR
336,pls do something about it.,Non SCR
337,It is ggod app. But if you can add call recoder that would be an additional advantage.,SCR
338,I have had a lot of fun with my Facebook and have connected with friends and family near & far. ,Non SCR
339,I also found the MAN that is the ONE! ,Non SCR
340,"We have to thank ""Facebook Dating"" for giving us a new way to meet someone to connect with, especially,while the ""Rona"" virus made it difficult to find a mate. ",Non SCR
341,"We started talking 9-17-2020, met the beginning of 10-2020 & he moved in with me late 10-2020 & we have been happy & talking about Marriage already. ",Non SCR
342,Thank You for this! ,Non SCR
343,"Also, gotta love Marketplace!",Non SCR
344,Not showing me notifications at all from past couple of days. ,SCR
345,"The contacts are not even muted, yet the notifications aren't being shown. ",SCR
346,Please fix the issue.,SCR
347,Abusanga. ,Non SCR
348,Talata.,Non SCR
349,Facebook is socal media aaps,Non SCR
350,Mhiz blinz sky,Non SCR
351,Ö??Ö??Ö??Ö??Ö??Ö?¯ Ö?èÖ?¶ Ö?èÖ?¯ Ö?ùÖ??Ö??Ö?? Ö?ÆÖ??Ö??Ö?™Ö?ÅÖ?? Ö?˝Ö??Ö??Ö?? Ö??Ö??Ö?˝Ö??,Non SCR
352,I really don't have idea why I'm unable to WhatsApp.,Non SCR
353, Evertime I make a call it shows reconnecting again and again I've re installed many times but nothing happened. Didn't expect this. ,SCR
354,And I don't have any Internet issues either. ,Non SCR
355,Fix this ASAP #whatsappnotworking,Non SCR
356,Best,Non SCR
357,It is a nice app. ,Non SCR
358,I love this app,Non SCR
359,"Great place to air your opinion, or share your experience. ",Non SCR
360,"A bit cumbersome on a phone, which is why I think young people don't like it as much. ",Non SCR
361,"That and some people go on a rant for pages, and most people don't have time for that.",Non SCR
362,"Facebook is a good app for me already, the only problem for me was during I reported a picture spreading on your platform because it displays nudity but sadly. ",SCR
363,Your community standards on reporting a nude picture doesn't work. ,SCR
364,It just says it doesn't go with our specific community standardsÉ?ù even though the picture is obviously displaying nudity. ,SCR
365,I hope you'll be able to fix this matter as soon as possible,Non SCR
366,All good but i am facing a problem from last few months.,Non SCR
367,The problem is recently clicked photo are not present while selecting photo's.,SCR
368,It has it's good and bad points .,Non SCR
369,we need to be able to set up our privacy and location settings. ,SCR
370,"For our safety, safety concerns.",Non SCR
371,"I deducted one more star for this app, because I'm already bored with the style emojis for Android, for developers, can you change the boring emoji style to be more interesting ?? ",SCR
372,Style emoji for android is really bad to look!!!! ,Non SCR
373,if you don't change it soon i will reduce my star again ..at least let the whatsapp emojis follow the system emojis from my phone... ,Non SCR
374,Ahh i guess i should to take two stars fo rating this app.,Non SCR
375,"Facebook was great until ""Related Discussions"" started popping up when I go to comment on things. ",Non SCR
376,"It's so annoying and feels like the internet equivalent of someone interrupting your conversation with, ""Hey! Look at this! Look!"" 
and I get enough of that from my kids LOL  (Laught Out Loud).",Non SCR
377,There appears to be no way to turn this off.,Non SCR
378,"I don't have any big problem with Whatsapp, works great and does what it promise BUT IT CONSUMES BATTERY 24 HRS CONTINUOUSLY. ",Non SCR
379,FIX IT ASAP. ,Non SCR
380,"I DON'T CARE, I'M MOVING TO ANOTHER APP ANYWAY.",Non SCR
381,Nice,Non SCR
382,Why whatsapp isn't working? ,Non SCR
383,It was perfectly working in the morning but now its not working. ,Non SCR
384,Is it going down or what? Waiting for a reply.,Non SCR
385,God will bless the person that created this,Non SCR
386,"So now I am able to make phone calls with the app on Chromebook, but im not able to update my status on it. ",SCR
387,It continously tells me to restart phone. ,SCR
388,I restart computer and the samething happens. ,Non SCR
389,I installed the update and its the same. ,Non SCR
390,Please fix!,Non SCR
391,Before i will be able to watch shows and now when i try to go to the page of shows it just keep loading for awhile it still does not show nothing. ,SCR
392,"I know its dumb, LOL.",Non SCR
393,Good,Non SCR
394,The last update of app is worst.. ,Non SCR
395,My fb is not being open. ,Non SCR
396,I tryed my best but its stuck on logging page. ,Non SCR
397,"Please developer solve it's errors as soon as possible otherwise, i have to Delete it from my cell phone.",Non SCR
398,I gave this app 3 stars as the camera quality is very bad . ,Non SCR
399,The images very blur. I have been using WhatsApp for years but the camera got blur recently,SCR
400,Jelfry Herrera Sharif Twilliams.,Non SCR
401,Ik.,Non SCR
402,Great App it's a way to keep in touch with everyone.,Non SCR
403,Find something to laugh about to inspire you and occasionally. ,Non SCR
404,Sometimes to encourage someone else or say a prayer for them cause there's something happening. ,Non SCR
405,You can find stuff to sell n buy new restraunts Churches different things.,Non SCR
406,I want Same interface like IOS gives of Whatsapp in Android,Non SCR
407,"When accessing the internet through the link, there are difficulties when scrolling down the web page and its so annoying.",SCR
408,"The news feed is hardly updated I keep seeing post from 3 days ago as if they were posted today, am just disappointed.",SCR
409,It is one of the best apps for messaging but I have a issue. ,Non SCR
410,"When the tabs are closed I don't get notifications, it is weird but I don't get even the online calls. ",Non SCR
411,Because this app is very popular .,Non SCR
412,Can you please fix it as soon as you can? ,Non SCR
413,It's an humble request.,Non SCR
414,"After recent update, I can't make my status in one solid color anymore which is useful sometimes. ",Non SCR
415,"It used to be holding the screen wherever after opening color palette, maybe the function change and I got no information about it.",Non SCR
416,This app is very good. ,Non SCR
417,"Through it I can talk to my friends and loved ones, I can share various videos. But now there is a problem that I can't share video with more than five people in this app. ",SCR
418,That's my problem. Please fix this problem so I can share the video with more than five friends. ,Non SCR
419,Then I will be obliged.,Non SCR
420,Please,Non SCR
421,Its my book,Non SCR
422,nic,Non SCR
423,It's a better and good app. ,Non SCR
424,"I love it ""only can say little bit for it'' i can't explain and i can't say anything / because i have no words and price to say this app Fully classic fully fantastic.",Non SCR
425,.????É?????è??èØ??????èØ??????èØ ,Non SCR
426,Behalf of Aapka Apna #BadalRapper. ,Non SCR
427,????É?????è??èØ,Non SCR
428,??umreragamage,Non SCR
429,"Recently, whatsapp is facing issues. ",Non SCR
430,"I get two notifications even though I'm chatting with the person, and last seen goes away.",Non SCR
431, Maybe a system glitch or something please rectify.,Non SCR
432,Good luck,Non SCR
433,"Whatsapp needs to add the option of turning off ""online status"". ",SCR
434,Secondly the timer on disappearing photos and messages should be less than a week. ,SCR
435,Like a day or an hour. ,Non SCR
436,Otherwise switching to alternative platforms is the only option we are left with.,Non SCR
437,Nice app,Non SCR
438,Waste,Non SCR
439,Er,Non SCR
440,Facebook is the best well designed easy to make friends etc.,Non SCR
441, I just want you to improve when you open the app why don't you put a Big Facebook logo just like your design.,Non SCR
442,Thanks Facebook.,Non SCR
443,Used to be good until the notification can't run on background anymore even when I set thw notification to be high priority. ,SCR
444,What if an I have an urgent message but there were no notification to notify me ?,SCR
445,Normally it's great but recently it keeps crashing after a minute or two of scrolling. ,Non SCR
446,Not sure what's going on. ,Non SCR
447,Hope it gets fixed. ,Non SCR
448,Really annoying.,Non SCR
449,Good,Non SCR
450,I like this app. ,Non SCR
451,But it's so heavy for me. ,Non SCR
452,And I wait for new page. ,Non SCR
453,I don't patient for it. Thanks.,Non SCR
454,It's alright.,Non SCR
455, I only really use it for personal purposes and to catch up with family and friends. ,Non SCR
456,It is not a predominant platform I use and overall Facebook is pretty decent. ,Non SCR
457,Its interface is okay-ish. ,Non SCR
458,Some features are intriguing but yeah this is is coming from an occasional user. ,Non SCR
459,I use my facebook account more then 10 years. .,Non SCR
460,Every things going good but now from some day i don't have access to my account.,SCR
461, My account gon to disabled by Fb security reason..?,SCR
462, please Facebook activate my account.,SCR
463,If you would stay out of my account would be great,Non SCR
464,***UPDATE** thank you for promptly fixing my issue. ,Non SCR
465,My account is currently blocked for literally no reason. ,SCR
466,I don't post anything inappropriate or use any vulgar language. ,Non SCR
467,I don't understand and can't talk to a real human about the issue. ,Non SCR
468,No explanation of why this happened. ,Non SCR
469,No email or anything. ,Non SCR
470,I went through the step Facebook recommended and received a message that due to covid my account may not be reviewed before it's permanently disabled. ,Non SCR
471,Seriously???!!!,Non SCR
472,I'm extremely disappointed. ,Non SCR
473,Never had this much of trouble with Facebook and messenger.,Non SCR
474, It wasn't letting me login in at first and I freaked out that someone probably hacked into my account. ,Non SCR
475,I was trying to talk with my parents and facebook started acting up.,Non SCR
476,Please resolve the issue as soon as you can.,Non SCR
477,You fixed my other 2 issues. ,Non SCR
478,Now let's see if you can fix this one. ,Non SCR
479,"Whenever I select an audience from my privacy, it un-picks it & choses a different privacy for a status/post shared. ",Non SCR
480,"I can't choose ""show post to any friend except"" it automatically goes to a different privacy settings without it asking me too.",SCR
481," It doesn't just change the privacy for that post, it changes the privacy for ALL my posts on my feed!! ",SCR
482,The good thing? ,Non SCR
483,Thanks for letting us add music. ,Non SCR
484,I'm just waiting for avatars now.,Non SCR
485,Censorship... alot is y I gave them a 3,Non SCR
486,"It is , useful, fun , and informative . ",Non SCR
487,Easy to use and a good way to keep in touch with those who are distances away . ,Non SCR
488,Yea all in all ..... sound . ,Non SCR
489,Keep it up !!,Non SCR
490,"App crashing automatically and unable to restore chats, informed through mails but no reply, this daily issue for me app crashes and restore backup shows daily",Non SCR
491,"After disabling autoplay of newsfeed video audio, the setting reverts after a few days. ",SCR
492,This has happened at least once a week for months.,Non SCR
493, I don't want audio to autoplay in my newsfeed!! ,SCR
